,0
250,0.54772
251,0.58310
252,0.14142
253,0.22361
254,0.42426
255,0.24495
256,0.51962
257,0.44721
258,0.42426
259,0.50990
260,0.50990
261,0.14142
262,0.31623
263,0.38730
264,0.20000
265,0.41231
266,0.38730
267,0.43589
268,0.24495
269,0.36056
270,0.28284
271,0.33166
272,0.26458
273,0.70711
274,0.53852
275,0.50990
276,0.24495
277,0.26458
278,0.26458
279,0.17321
280,0.22361
281,0.36056
282,0.42426
283,0.30000
284,0.37417
285,0.34641
286,0.41231
287,0.33166
288,0.36056
289,0.36056
290,0.42426
291,0.41231
292,0.51962
293,0.30000
294,0.43589
295,0.38730
296,0.26458
297,0.44721
298,0.20000
299,0.48990
300,0.48990
301,0.53852
302,0.43589
303,0.34641
304,0.42426
305,0.59161
306,0.34641
307,0.65574
308,0.50000
309,0.41231
310,0.37417
311,0.42426
312,0.20000
313,0.43589
314,0.34641
315,0.46904
316,0.42426
317,0.34641
318,0.46904
319,0.54772
320,0.14142
321,0.44721
322,0.42426
323,0.30000
324,0.50990
325,0.64807
326,0.43589
327,0.50990
328,0.26458
329,0.37417
330,0.38730
331,0.14142
332,0.37417
333,0.36056
334,0.36056
335,0.33166
336,0.50990
337,0.47958
338,0.51962
339,0.48990
340,0.60828
341,0.53852
342,0.64807
343,0.46904
344,0.67082
345,0.64031
346,0.62450
347,0.66332
348,0.71414
349,0.70711
350,0.61644
351,0.76158
352,0.17321
353,0.17321
354,0.31623
355,0.22361
356,0.42426
357,0.30000
358,0.33166
359,0.37417
360,0.42426
361,0.42426
362,0.48990
363,0.26458
364,0.34641
365,0.45826
366,0.50000
367,0.50000
368,0.26458
369,0.31623
370,0.45826
371,0.38730
372,1.19164
373,1.21244
374,1.32288
375,0.38730
376,0.33166
377,0.22361
378,0.64031
379,0.17321
380,0.14142
381,0.52915
382,0.90000
383,0.24495
384,0.50990
385,0.93274
386,0.14142
387,0.84261
388,0.74162
389,0.54772
390,0.79373
391,0.71414
392,1.30384
393,1.62788
394,2.18861
395,2.18174
396,1.02470
397,1.04403
398,0.99499
399,0.93274
400,0.55678
401,0.42426
402,0.50000
403,0.50990
404,0.00000
405,0.31623
406,0.26458
407,0.33166
408,0.40000
409,0.45826
410,0.41231
411,0.38730
412,0.24495
413,0.33166
414,0.24495
415,0.38730
416,0.38730
417,0.36056
418,0.30000
419,0.31623
420,0.54772
421,0.52915
422,0.54772
423,0.26458
424,0.98995
425,1.24900
426,0.91104
427,1.11803
428,0.26458
429,0.55678
430,0.60828
431,0.43589
432,0.61644
433,0.55678
434,0.62450
435,0.61644
436,0.80623
437,0.67082
438,0.63246
439,0.70711
440,0.42426
441,0.46904
442,0.37417
443,0.22361
444,0.37417
445,0.34641
446,0.38730
447,0.37417
448,0.36056
449,0.37417
450,0.17321
451,0.34641
452,0.51962
453,0.26458
454,0.33166
455,0.58310
456,0.50990
457,0.64031
458,0.72801
459,0.48990
460,0.38730
461,0.30000
462,0.38730
463,0.37417
464,0.14142
465,0.36056
466,0.38730
467,0.46904
468,1.00499
469,1.01980
470,0.41231
471,1.12250
472,0.89443
473,0.96437
474,1.29228
475,0.41231
476,0.58310
477,0.67823
478,0.67823
479,0.66332
480,0.26458
481,0.22361
482,0.30000
483,0.30000
484,0.45826
485,0.31623
486,0.50000
487,0.57446
488,0.70000
489,1.06301
490,0.96954
491,0.67823
492,0.37417
493,0.24495
494,0.17321
495,0.36056
496,0.40000
497,0.31623
498,0.41231
499,0.37417
500,0.46904
501,0.64807
502,0.74162
503,0.34641
504,0.24495
505,0.28284
506,0.43589
507,0.38730
508,0.47958
509,0.28284
510,0.45826
511,0.14142
512,0.51962
513,0.43589
514,0.46904
515,0.10000
516,0.50990
517,0.83666
518,0.71414
519,0.88318
520,1.03923
521,0.84853
522,0.53852
523,0.93274
524,1.58114
525,1.55885
526,1.38203
527,0.92736
528,0.46904
529,0.50000
530,0.50990
531,0.54772
532,0.58310
533,0.55678
534,0.50990
535,0.53852
536,0.81240
537,0.77460
538,0.71414
539,0.78102
540,1.13578
541,0.94340
542,1.12694
543,1.08628
544,0.24495
545,0.62450
546,0.43589
547,0.50000
548,0.38730
549,0.59161
550,0.62450
551,0.64807
552,0.62450
553,0.31623
554,0.67082
555,0.47958
556,0.41231
557,0.36056
558,0.36056
559,0.46904
560,0.54772
561,0.42426
562,0.34641
563,0.24495
564,0.51962
565,0.81240
566,0.69282
567,0.24495
568,0.77460
569,0.94868
570,0.33166
571,0.54772
572,0.31623
573,0.73485
574,0.80623
575,0.84261
576,0.61644
577,1.25698
578,0.79373
579,0.62450
580,0.78102
581,0.36056
582,0.67082
583,0.94868
584,0.58310
585,1.06771
586,0.65574
587,0.61644
588,0.64031
