,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
38,4.40000,3.00000,1.30000,0.20000,0.00000
39,5.10000,3.40000,1.50000,0.20000,0.00000
40,5.00000,3.50000,1.30000,0.30000,0.00000
41,4.50000,2.30000,1.30000,0.30000,0.00000
42,4.40000,3.20000,1.30000,0.20000,0.00000
43,5.00000,3.50000,1.60000,0.60000,0.00000
44,5.10000,3.80000,1.90000,0.40000,0.00000
45,4.80000,3.00000,1.40000,0.30000,0.00000
46,5.10000,3.80000,1.60000,0.20000,0.00000
47,4.60000,3.20000,1.40000,0.20000,0.00000
48,5.30000,3.70000,1.50000,0.20000,0.00000
49,5.00000,3.30000,1.40000,0.20000,0.00000
50,7.00000,3.20000,4.70000,1.40000,1.00000
51,6.40000,3.20000,4.50000,1.50000,1.00000
52,6.90000,3.10000,4.90000,1.50000,1.00000
53,5.50000,2.30000,4.00000,1.30000,1.00000
54,6.50000,2.80000,4.60000,1.50000,1.00000
55,5.70000,2.80000,4.50000,1.30000,1.00000
56,6.30000,3.30000,4.70000,1.60000,1.00000
57,4.90000,2.40000,3.30000,1.00000,1.00000
58,6.60000,2.90000,4.60000,1.30000,1.00000
59,5.20000,2.70000,3.90000,1.40000,1.00000
60,5.00000,2.00000,3.50000,1.00000,1.00000
61,5.90000,3.00000,4.20000,1.50000,1.00000
62,6.00000,2.20000,4.00000,1.00000,1.00000
63,6.10000,2.90000,4.70000,1.40000,1.00000
64,5.60000,2.90000,3.60000,1.30000,1.00000
65,6.70000,3.10000,4.40000,1.40000,1.00000
66,5.60000,3.00000,4.50000,1.50000,1.00000
67,5.80000,2.70000,4.10000,1.00000,1.00000
68,6.20000,2.20000,4.50000,1.50000,1.00000
69,5.60000,2.50000,3.90000,1.10000,1.00000
70,5.90000,3.20000,4.80000,1.80000,1.00000
71,6.10000,2.80000,4.00000,1.30000,1.00000
72,6.30000,2.50000,4.90000,1.50000,1.00000
73,6.10000,2.80000,4.70000,1.20000,1.00000
74,6.40000,2.90000,4.30000,1.30000,1.00000
75,6.60000,3.00000,4.40000,1.40000,1.00000
76,6.80000,2.80000,4.80000,1.40000,1.00000
77,6.70000,3.00000,5.00000,1.70000,1.00000
78,6.00000,2.90000,4.50000,1.50000,1.00000
79,5.70000,2.60000,3.50000,1.00000,1.00000
80,5.50000,2.40000,3.80000,1.10000,1.00000
81,5.50000,2.40000,3.70000,1.00000,1.00000
82,5.80000,2.70000,3.90000,1.20000,1.00000
83,6.00000,2.70000,5.10000,1.60000,1.00000
84,5.40000,3.00000,4.50000,1.50000,1.00000
85,6.00000,3.40000,4.50000,1.60000,1.00000
86,6.70000,3.10000,4.70000,1.50000,1.00000
87,6.30000,2.30000,4.40000,1.30000,1.00000
88,5.60000,3.00000,4.10000,1.30000,1.00000
89,5.50000,2.50000,4.00000,1.30000,1.00000
90,5.50000,2.60000,4.40000,1.20000,1.00000
91,6.10000,3.00000,4.60000,1.40000,1.00000
92,5.80000,2.60000,4.00000,1.20000,1.00000
93,5.00000,2.30000,3.30000,1.00000,1.00000
94,5.60000,2.70000,4.20000,1.30000,1.00000
95,5.70000,3.00000,4.20000,1.20000,1.00000
96,5.70000,2.90000,4.20000,1.30000,1.00000
97,6.20000,2.90000,4.30000,1.30000,1.00000
98,5.10000,2.50000,3.00000,1.10000,1.00000
99,5.70000,2.80000,4.10000,1.30000,1.00000
100,6.30000,3.30000,6.00000,2.50000,2.00000
101,5.80000,2.70000,5.10000,1.90000,2.00000
102,7.10000,3.00000,5.90000,2.10000,2.00000
103,6.30000,2.90000,5.60000,1.80000,2.00000
104,6.50000,3.00000,5.80000,2.20000,2.00000
105,7.60000,3.00000,6.60000,2.10000,2.00000
106,4.90000,2.50000,4.50000,1.70000,2.00000
107,7.30000,2.90000,6.30000,1.80000,2.00000
108,6.70000,2.50000,5.80000,1.80000,2.00000
109,7.20000,3.60000,6.10000,2.50000,2.00000
110,6.50000,3.20000,5.10000,2.00000,2.00000
111,6.40000,2.70000,5.30000,1.90000,2.00000
112,6.80000,3.00000,5.50000,2.10000,2.00000
113,5.70000,2.50000,5.00000,2.00000,2.00000
114,5.80000,2.80000,5.10000,2.40000,2.00000
115,6.40000,3.20000,5.30000,2.30000,2.00000
116,6.50000,3.00000,5.50000,1.80000,2.00000
117,7.70000,3.80000,6.70000,2.20000,2.00000
118,7.70000,2.60000,6.90000,2.30000,2.00000
119,6.00000,2.20000,5.00000,1.50000,2.00000
120,6.90000,3.20000,5.70000,2.30000,2.00000
121,5.60000,2.80000,4.90000,2.00000,2.00000
122,7.70000,2.80000,6.70000,2.00000,2.00000
123,6.30000,2.70000,4.90000,1.80000,2.00000
124,6.70000,3.30000,5.70000,2.10000,2.00000
125,7.20000,3.20000,6.00000,1.80000,2.00000
126,6.20000,2.80000,4.80000,1.80000,2.00000
127,6.10000,3.00000,4.90000,1.80000,2.00000
128,6.40000,2.80000,5.60000,2.10000,2.00000
129,7.20000,3.00000,5.80000,1.60000,2.00000
130,7.40000,2.80000,6.10000,1.90000,2.00000
131,7.90000,3.80000,6.40000,2.00000,2.00000
132,6.40000,2.80000,5.60000,2.20000,2.00000
133,6.30000,2.80000,5.10000,1.50000,2.00000
134,6.10000,2.60000,5.60000,1.40000,2.00000
135,7.70000,3.00000,6.10000,2.30000,2.00000
136,6.30000,3.40000,5.60000,2.40000,2.00000
137,6.40000,3.10000,5.50000,1.80000,2.00000
138,6.00000,3.00000,4.80000,1.80000,2.00000
139,6.90000,3.10000,5.40000,2.10000,2.00000
140,6.70000,3.10000,5.60000,2.40000,2.00000
141,6.90000,3.10000,5.10000,2.30000,2.00000
142,5.80000,2.70000,5.10000,1.90000,2.00000
143,6.80000,3.20000,5.90000,2.30000,2.00000
144,6.70000,3.30000,5.70000,2.50000,2.00000
145,6.70000,3.00000,5.20000,2.30000,2.00000
146,6.30000,2.50000,5.00000,1.90000,2.00000
147,6.50000,3.00000,5.20000,2.00000,2.00000
148,6.20000,3.40000,5.40000,2.30000,2.00000
149,5.90000,3.00000,5.10000,1.80000,2.00000
